연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계
1907,―,―,―,―,―,―,―,―,―,1,14,24,39
1908,23,13,21,4,0,0,0,0,0,7,19,26,113
1909,27,21,18,3,0,0,0,0,0,12,22,20,123
1910,17,18,15,9,0,0,0,0,0,3,13,26,101
1911,16,13,10,6,0,0,0,0,0,6,13,15,79
1912,22,15,14,5,0,0,0,0,0,6,14,20,96
1913,18,14,13,3,0,0,0,0,0,8,21,13,90
1914,18,16,7,4,0,0,0,0,0,1,11,20,77
1915,15,15,14,5,0,0,0,0,0,2,6,5,62
1916,0,0,0,0,0,0,0,0,0,0,0,1,1
1917,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,1,0,0,0,0,0,0,0,0,3,16,0,20
1922,8,0,21,0,0,0,0,0,0,2,17,21,69
1923,17,17,13,8,0,0,0,0,0,7,19,23,104
1924,25,13,23,10,0,0,0,0,0,7,20,28,126
1925,22,20,22,10,0,0,0,0,0,0,13,13,100
1926,18,19,21,10,0,0,0,0,0,4,17,21,110
1927,19,18,16,4,0,0,0,0,0,7,19,18,101
1928,21,19,16,4,0,0,0,0,1,11,16,22,110
1929,20,16,12,3,0,0,0,7,0,7,17,16,98
1930,27,19,14,2,0,0,0,0,0,1,18,28,109
1931,15,18,15,11,0,0,0,0,0,9,4,19,91
1932,25,21,17,5,0,0,0,0,0,9,19,21,117
1933,25,21,13,1,0,0,0,0,0,5,12,17,94
1934,20,22,10,7,0,0,0,0,0,6,15,26,106
1935,22,19,15,6,0,0,0,0,0,1,11,18,92
1936,17,21,22,7,0,0,0,0,0,6,13,23,109
1937,20,19,17,4,0,0,0,0,0,3,8,18,89
1938,15,18,10,2,0,0,0,0,0,2,11,15,73
1939,15,15,14,3,0,0,0,0,0,5,6,18,76
1940,12,15,12,2,0,0,0,0,0,1,14,17,73
1941,21,19,9,4,0,0,0,0,0,5,3,20,81
1942,21,11,10,4,0,0,0,0,0,6,13,21,86
1943,20,18,9,4,0,0,0,0,0,1,15,20,87
1944,18,14,18,5,0,0,0,0,0,3,9,20,87
1945,25,12,11,3,0,0,0,0,0,3,18,5,77
1946,7,3,5,5,0,0,0,0,0,3,4,1,28
1947,5,4,5,2,0,0,0,0,0,2,12,2,32
1948,13,17,1,1,0,0,0,0,0,2,5,7,46
1949,8,8,3,2,0,0,0,0,0,2,5,6,34
1950,6,7,6,1,0,0,0,0,0,0,0,0,20
1951,0,0,0,0,0,0,0,0,0,0,0,8,8
1952,3,0,3,2,0,0,0,0,0,0,0,0,8
1953,0,0,0,0,0,0,0,0,0,1,2,10,13
1954,10,8,6,1,0,0,0,0,0,4,5,9,43
1955,3,6,3,2,0,0,0,0,0,4,10,11,39
1956,6,13,5,0,0,0,0,0,0,6,12,2,44
1957,10,16,21,8,0,0,0,0,0,3,10,8,76
1958,17,8,6,0,0,0,0,0,0,2,21,18,72
1959,10,10,5,1,0,0,0,0,0,3,9,12,50
1960,10,11,5,5,0,0,0,0,0,0,11,16,58
1961,2,13,16,8,0,0,0,0,0,1,14,22,76
1962,15,12,13,2,0,0,0,0,0,6,6,16,70
1963,14,26,17,0,0,0,0,0,0,3,12,16,88
1964,22,14,15,0,0,0,0,0,0,6,14,21,92
1965,13,9,7,1,0,0,0,0,0,0,7,9,46
1966,17,10,6,0,0,0,0,0,0,1,4,22,60
1967,22,20,18,1,0,0,0,0,0,2,13,23,99
1968,21,20,15,2,0,0,0,0,0,4,7,13,82
1969,15,7,14,3,0,0,0,0,0,9,11,12,71
1970,19,17,16,2,0,0,0,0,0,4,11,15,84
1971,18,12,6,0,0,0,0,0,0,7,9,19,71
1972,15,7,9,1,0,0,0,0,0,1,1,9,43
