연도,국가코드,산림손실면적(ha),산불산림손실면적(ha)
2001,AFG,88.092712473,12.249293707
2001,AGO,101218.50455,888.69456111
2001,AIA,3.8784607081,0
2001,ALA,396.97363053,8.1298609852
2001,ALB,3728.669851,754.31774551
2001,AND,1.6542129477,0.28537301158
2001,ARG,147801.67966,7970.3868796
2001,ARM,131.84061226,28.985651242
2001,ATG,24.074189438,0.36816398742
2001,AUS,218813.57758,154494.35542
2001,AUT,6938.9947066,64.065130437
2001,AZE,553.29935612,102.66725252
2001,BDI,1417.2469571,0.61443509765
2001,BEL,971.48819528,10.199185545
2001,BEN,3748.1890768,8.4611693579
2001,BES,3.0318572529,0
2001,BFA,58.872659789,0
2001,BGD,4587.2799119,119.07781036
2001,BGR,8202.2636645,2588.5384909
2001,BHS,432.9994197,71.087032363
2001,BIH,1496.0519357,620.74055821
2001,BLR,18358.917114,339.69696322
2001,BLZ,8238.3598328,1290.8079441
2001,BMU,0.19581979363,0
2001,BOL,140210.22188,11429.525031
2001,BRA,2746284.6384,127406.37808
2001,BRB,12.367461564,0.52463511402
2001,BRN,1244.4538229,53.216034764
2001,BTN,297.59088424,28.097433652
2001,BWA,130.98388148,3.553408238
2001,CAF,31282.513717,303.11057365
2001,CAN,1358153.5508,520947.75725
2001,CHE,1164.7403124,12.901911912
2001,CHL,72711.244483,3150.8861627
2001,CHN,230308.12058,31948.774318
2001,CIV,122694.83623,608.59419625
2001,CMR,39203.716761,135.02088775
2001,COD,455531.83548,7540.4156468
2001,COG,27030.849643,680.60419455
2001,COL,229960.99068,9999.0127974
2001,COM,36.973693208,0.22594794529
2001,CPV,14.272901589,2.5288994626
2001,CRI,15483.272379,487.39049198
2001,CUB,18942.908778,989.84413785
2001,CUW,0.90278852551,0.075225039093
2001,CYM,20.6816122,0.36298459669
2001,CYP,78.628902074,41.244335615
2001,CZE,3451.1458345,75.608608198
2001,DEU,15286.527526,165.55735452
2001,DMA,22.792755511,0.37100238927
2001,DNK,4329.2958532,129.52386832
2001,DOM,11247.53863,1110.6209704
2001,DZA,3468.2007567,2377.2534021
2001,ECU,45079.70283,3396.7260542
2001,EGY,147.76494268,17.002253006
2001,ERI,2.5295243326,0.89275614865
2001,ESP,32811.053519,7522.0559038
2001,EST,16872.515161,200.93104894
2001,ETH,11947.247244,48.163980351
2001,FIN,151003.37286,2066.7138023
2001,FJI,1097.7640544,22.983670634
2001,FRA,34420.963394,1602.1533412
2001,GAB,15082.63773,180.88103271
2001,GBR,23247.500492,2740.9166559
2001,GEO,666.55636661,61.808367341
2001,GGY,1.9153560713,0.10082844116
2001,GHA,43675.472339,101.73423581
2001,GIB,0.37457127394,0
2001,GIN,18571.449584,104.73971493
2001,GLP,320.70238557,3.0313838986
2001,GMB,3.297421863,0
2001,GNB,2362.1530283,2.6345931818
2001,GNQ,3585.4191002,7.6122274182
2001,GRC,12616.99805,6902.3238437
2001,GRD,32.810858868,0.075240975618
2001,GTM,53315.181585,3476.0641165
2001,GUF,3033.2877486,196.71566784
2001,GUY,10039.867761,2923.3360465
2001,HND,42379.94942,3128.7202721
2001,HRV,3378.4896036,688.95219693
2001,HTI,2468.7559867,189.02764499
2001,HUN,7522.5770334,96.827190363
2001,IDN,744083.99652,36584.612378
2001,IMN,31.950875234,6.7140821386
2001,IND,56791.854246,1856.4638439
2001,IRL,9552.5128073,597.53869625
2001,IRN,332.42226598,62.846165475
2001,IRQ,16.026636417,2.2675116664
2001,ISR,145.96523805,16.526344444
2001,ITA,9870.9644252,706.9286461
2001,JAM,1246.2415233,28.059023413
2001,JEY,7.3926777411,0.60763990572
2001,JOR,0.52202803109,0
2001,JPN,23977.467446,763.0968988
2001,KAZ,4534.7027413,1169.9580895
2001,KEN,19027.364861,36.517396746
2001,KGZ,589.16802348,226.86006438
2001,KHM,28491.215089,1055.4723363
2001,KNA,45.4625956,1.1770285322
2001,KOR,5504.1625053,647.74191253
2001,LAO,36460.466159,123.74085989
2001,LBN,299.34061434,25.699569097
2001,LBR,29185.517387,303.97122565
2001,LBY,17.152701517,7.7312185274
2001,LCA,31.080463209,1.7934605079
2001,LIE,3.3713168608,0.15804024817
2001,LKA,3759.6632023,73.460966837
2001,LSO,1.1400521308,0
2001,LTU,7961.6441467,113.4825803
2001,LUX,68.609691967,0.65116962041
2001,LVA,24907.664373,201.88103135
2001,MAF,2.1236559847,0.21969459192
2001,MAR,1868.2886059,569.77910364
2001,MDA,146.68806073,11.645329806
2001,MDG,86956.832699,2025.337708
2001,MDV,4.7434872624,0
2001,MEX,158266.73427,13288.005303
2001,MKD,2059.979441,405.41917597
2001,MLI,347.87068811,0.22496969142
