연도,시간,위도,경도,진앙,규모,place
2014-03-17,오전 5:11:34,-20.003,-70.8741,17,6.2,"80km WNW of Iquique, Chile"
2014-03-16,오후 9:16:30,-19.9246,-70.6278,20,6.7,"60km WNW of Iquique, Chile"
2014-03-15,오후 11:51:30,-5.566,-80.879,9.8,6.3,"6km W of Sechura, Peru"
2014-03-15,오전 8:59:21,-14.0935,-76.2968,20,6.1,"25km S of Paracas, Peru"
2014-03-13,오후 5:06:50,33.6793,131.8197,79,6.3,"15km NNE of Kunisaki-shi, Japan"
2014-03-11,오후 10:03:11,-3.1128,148.4774,10,6.1,"180km SE of Lorengau, Papua New Guinea"
2014-03-11,오전 2:44:05,-60.8391,-19.9569,10,6.4,East of the South Sandwich Islands
2014-03-10,오전 5:18:13,40.8287,-125.1338,16.6,6.8,"77km WNW of Ferndale, California"
2014-03-05,오전 9:56:58,-14.7347,169.8222,636.76,6.3,"262km ESE of Sola, Vanuatu"
2014-03-02,오후 8:11:22,27.4052,127.3354,111.18,6.5,"110km NW of Nago, Japan"
2014-03-02,오전 9:37:54,12.5555,-87.6902,60,6.2,"33km SW of Jiquilillo, Nicaragua"
2014-02-26,오후 9:13:40,53.6792,-171.8369,264.66,6.1,"138km NNW of Amukta Island, Alaska"
2014-02-18,오전 9:27:13,14.6511,-58.9478,16.86,6.5,"170km NNE of Bathsheba, Barbados"
2014-02-12,오전 9:19:49,35.906,82.5865,10,6.9,"272km ESE of Hotan, China"
2014-02-09,오후 2:56:39,-5.9651,154.435,41.8,6,"122km WNW of Panguna, Papua New Guinea"
2014-02-07,오전 8:40:13,-15.0691,167.3721,122,6.5,"34km E of Port-Olry, Vanuatu"
2014-02-03,오전 3:08:46,38.2637,20.3897,5,6,"7km NNW of Lixourion, Greece"
2014-02-02,오전 9:26:37,-32.9076,-177.8806,44.26,6.5,"189km SSE of L'Esperance Rock, New Zealand"
2014-02-01,오전 3:58:44,-56.8269,-27.3253,131.14,6.1,"16km SSW of Visokoi Island, "
2014-01-26,오후 1:55:42,38.2039,20.4504,8,6.1,"1km E of Lixourion, Greece"
2014-01-25,오전 5:14:18,-7.9855,109.2653,66,6.1,"38km SSE of Adipala, Indonesia"
2014-01-21,오전 1:29:07,-15.1477,-174.6841,6.59,6.1,"133km NW of Hihifo, Tonga"
2014-01-20,오전 2:52:44,-40.6595,175.8144,28,6.1,"35km NNE of Masterton, New Zealand"
2014-01-13,오전 4:01:03,19.0428,-66.8096,20,6.4,"61km N of Hatillo, Puerto Rico"
2014-01-01,오후 4:03:29,-13.8633,167.249,187,6.5,"32km W of Sola, Vanuatu"
2013-12-17,오후 11:38:06,20.7727,146.7903,9,6.2,"198km E of Farallon de Pajaros, Northern Mariana Islands"
2013-12-08,오후 5:24:54,44.4438,149.1667,28,6,"134km SE of Kuril'sk, Russia"
2013-12-01,오전 6:29:57,2.044,96.8261,20,6,"69km SE of Sinabang, Indonesia"
2013-12-01,오전 1:24:13,-7.0269,128.3791,9.87,6.4,"Kepulauan Barat Daya, Indonesia"
2013-11-25,오전 7:21:18,-53.8708,-53.9107,14.83,6,South Atlantic Ocean
2013-11-25,오전 6:27:33,-53.9451,-55.0033,11.78,7,Falkland Islands region
2013-11-25,오전 5:56:50,45.5613,151.0047,34,6,"247km E of Kuril'sk, Russia"
2013-11-23,오전 7:48:32,-17.1171,-176.5449,371,6.5,Fiji region
2013-11-19,오후 5:00:44,18.4753,145.2041,511,6,"58km WSW of Agrihan, Northern Mariana Islands"
2013-11-19,오후 1:32:51,2.6403,128.4339,38,6,"111km NNE of Tobelo, Indonesia"
2013-11-17,오전 9:04:55,-60.2738,-46.4011,10,7.7,Scotia Sea
2013-11-16,오전 3:34:31,-60.2627,-47.0621,9.97,6.9,Scotia Sea
2013-11-13,오후 11:45:47,-60.2814,-47.1233,11.07,6.1,Scotia Sea
2013-11-12,오전 7:03:51,54.6859,162.3024,43,6.4,"172km S of Ust'-Kamchatsk Staryy, Russia"
2013-11-02,오후 6:53:46,-19.1711,-172.6411,10.05,6.2,"152km ESE of Neiafu, Tonga"
2013-11-02,오후 3:52:46,-23.6357,-112.5956,9.98,6,Easter Island region
2013-10-31,오후 11:03:59,-30.2921,-71.5215,27,6.6,"41km SSW of Coquimbo, Chile"
